Station_ID_C,PositionName,Year,mon,day,Hour,aqi,CO,NO2,O3,PM10,PM2_5,SO2
1009A,怀柔镇,2026,4,23,21,36.0,0.6,25.0,102.0,36.0,17.0,5.0
1010A,昌平镇,2026,4,23,21,53.0,0.5,20.0,125.0,53.0,28.0,5.0
1011A,奥体中心,2026,4,23,21,49.0,0.4,12.0,107.0,49.0,19.0,4.0
3418A,密云新城,2026,4,23,21,37.0,0.3,16.0,111.0,37.0,16.0,4.0
3671A,门头沟三家店,2026,4,23,21,61.0,0.4,19.0,110.0,65.0,30.0,4.0
3672A,丰台云岗,2026,4,23,21,59.0,0.5,24.0,95.0,62.0,28.0,4.0
3674A,房山燕山,2026,4,23,21,46.0,0.4,21.0,104.0,45.0,32.0,4.0
3675A,大兴旧宫,2026,4,23,21,49.0,0.4,21.0,102.0,49.0,19.0,1.0
3694A,延庆石河营,2026,4,23,21,50.0,0.5,11.0,137.0,50.0,25.0,2.0
3695A,怀柔新城,2026,4,23,21,37.0,0.4,18.0,97.0,37.0,14.0,4.0
3696A,丰台小屯,2026,4,23,21,53.0,0.4,17.0,94.0,54.0,20.0,3.0
3697A,密云镇,2026,4,23,21,39.0,0.4,16.0,123.0,38.0,15.0,6.0
4057A,延庆百泉,2026,4,23,21,53.0,0.6,13.0,130.0,53.0,27.0,1.0
4058A,通州新华,2026,4,23,21,43.0,0.4,19.0,109.0,43.0,16.0,4.0
4182A,石景山八角,2026,4,23,21,68.0,0.4,21.0,101.0,74.0,28.0,4.0
4194A,平谷新城,2026,4,23,21,0.0,0.4,31.0,0.0,42.0,19.0,3.0
1761A,大峪,2026,4,23,21,79.0,1.1,19.0,85.0,90.0,34.0,9.0
1763A,彩屯,2026,4,23,21,74.0,0.8,31.0,78.0,81.0,47.0,10.0
1764A,东明,2026,4,23,21,88.0,1.4,38.0,85.0,91.0,54.0,10.0
1765A,新立屯,2026,4,23,21,63.0,0.7,62.0,34.0,68.0,28.0,9.0
1766A,威宁,2026,4,23,21,78.0,0.6,22.0,95.0,88.0,36.0,9.0
2587A,八中,2026,4,23,21,36.0,0.5,6.0,77.0,36.0,19.0,8.0
2588A,师专,2026,4,23,21,28.0,0.5,7.0,72.0,28.0,11.0,11.0
4263A,工业大道,2026,4,23,21,33.0,0.0,6.0,85.0,29.0,23.0,13.0
1629A,第二水厂,2026,4,23,21,104.0,0.8,22.0,98.0,107.0,64.0,7.0
1630A,北中新校,2026,4,23,21,111.0,0.5,19.0,116.0,70.0,72.0,7.0
3514A,中海酒店,2026,4,23,21,78.0,0.8,37.0,96.0,88.0,47.0,8.0
3515A,开发区一中,2026,4,23,21,98.0,0.9,47.0,79.0,97.0,59.0,9.0
3516A,金海六路,2026,4,23,21,84.0,0.9,30.0,106.0,76.0,52.0,7.0
4028A,滨州市西街道办事处,2026,4,23,21,78.0,0.7,18.0,110.0,75.0,49.0,6.0
2311A,污水处理厂,2026,4,23,21,29.0,0.1,12.0,90.0,25.0,3.0,5.0
2312A,三国揽胜宫,2026,4,23,21,28.0,0.2,9.0,89.0,27.0,3.0,8.0
3332A,亳州学院,2026,4,23,21,27.0,0.3,9.0,86.0,19.0,3.0,8.0
2693A,市党校,2026,4,23,21,62.0,0.3,25.0,107.0,66.0,16.0,4.0
2694A,市环保局,2026,4,23,21,55.0,0.4,30.0,103.0,56.0,9.0,6.0
1071A,沧县城建局,2026,4,23,21,78.0,0.7,21.0,98.0,58.0,49.0,7.0
1072A,电视转播站,2026,4,23,21,58.0,0.3,13.0,117.0,61.0,28.0,8.0
1073A,市环保局,2026,4,23,21,70.0,0.7,17.0,102.0,77.0,35.0,7.0
3324A,河北水利电力学院,2026,4,23,21,55.0,0.3,16.0,99.0,56.0,35.0,7.0
